group,specifier,long_name,units,resolution,frequency,valid_min,valid_max,comment
carbon-pools,cproduct,Carbon in Products of Land Use Change,kg m-2,0.5° grid,annual,,,Products generated during Land-use change. Removed carbon should not go into the soil but into the product pool. Please use the product classes used within your model and document them in the model documentation on the ISIMIP homepage.
carbon-pools,cleaf,Carbon Mass in Leaves,kg m-2,0.5° grid,annual,,,
carbon-pools,cwood,Carbon Mass in Wood,kg m-2,0.5° grid,annual,,,Including sapwood and hardwood.
carbon-pools,croot,Carbon Mass in Roots,kg m-2,0.5° grid,annual,,,Including fine and coarse roots.
carbon-pools,ccwd,Carbon Mass in Coarse Woody Debris,kg m-2,0.5° grid,annual,,,
carbon-fluxes,gpp,Carbon Mass Flux out of Atmosphere due to Gross Primary Production on Land,kg m-2 s-1,0.5° grid,monthly,,,Grid cell total and PFT information is essential.
carbon-fluxes,ra,Carbon Mass Flux into Atmosphere due to Autotrophic (plant) Respiration on Land,kg m-2 s-1,0.5° grid,monthly,,,Grid cell total and PFT information is essential.
carbon-fluxes,npp,Carbon Mass Flux out of Atmosphere due to Net Primary Production on Land,kg m-2 s-1,0.5° grid,monthly,,,Grid cell total and PFT information is essential.
carbon-fluxes,rh,Carbon Mass Flux into Atmosphere due to Heterotrophic Respiration on Land,kg m-2 s-1,0.5° grid,monthly,,,Grid cell total and PFT information is essential.
carbon-fluxes,ffire,Carbon Mass Flux into Atmosphere due to CO₂ Emission from Fire,kg m-2 s-1,0.5° grid,monthly,,,
carbon-fluxes,nbp,Carbon Mass Flux out of Atmosphere due to Net Biospheric Production on Land,kg m-2 s-1,0.5° grid,monthly,,,"This is the net mass flux of carbon between land and atmosphere calculated as photosynthesis MINUS the sum of plant and soil respiration, carbonfluxes from fire, harvest, grazing and land use change. Positive flux is into the land."
carbon-fluxes,rr,Root autotrophic respiration,kg m-2 s-1,0.5° grid,monthly,,,
carbon-fluxes,fluc,Carbon Mass Flux into Atmosphere from Land Use Change,kg m-2 s-1,0.5° grid,monthly,,,For wood products only. Sum of carbon fluxes to wood production and wood storage turnover emissions from previous years.
carbon-fluxes,fgrazing,Carbon Mass Flux into Atmosphere from Grazing,kg m-2 s-1,0.5° grid,monthly,,,Grid cell total and PFT information is essential.
carbon-fluxes,fcropharvest,Carbon Mass Flux into Atmosphere from Crop Harvesting,kg m-2 s-1,0.5° grid,monthly,,,Grid cell total and PFT information is essential.
carbon-fluxes,flitter,Total Carbon Flux from Vegetation to Litter,kg m-2 s-1,0.5° grid,monthly,,,Grid cell total and PFT information is essential.
carbon-fluxes,flittersoil,Total Carbon Flux from Litter to Soil,kg m-2 s-1,0.5° grid,monthly,,,Grid cell total and PFT information is essential.
carbon-fluxes,fvegsoil,Total Carbon Flux from Vegetation Directly to Soil,kg m-2 s-1,0.5° grid,monthly,,,"Carbon going  directly into the soil pool without entering litter (e.g., root exudate). Grid cell total and PFT information is essential."
carbon-fluxes,wetlandch4,Grid averaged methane emissions from wetland,kg m-2 s-1,0.5° grid,monthly,,,"Net upward flux of methane from wetlands (areas where water covers the soil, or is present either at or near the surface of the soil all year or for varying periods of time during the year, including during the growing season)."
carbon-fluxes,ch4,Total Surface Carbon Mass Flux into CH4 emissions,kg m-2 s-1,0.5° grid,monthly,,,"If possible, provide CH4 emissions for all depth layers (i.e. 3D-field), and indicate depth in m. See instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>."
carbon-fluxes,rlitter,Carbon Mass Flux into Atmosphere due to Litter Respiration on Land in each layer,kg m-2 s-1,0.5° grid,"monthly, else annual",,,"If possible, provide net changes due to vertical fluxes for all depth layers (i.e. 3D-field), and indicate depth in m. See instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>."
nitrogen-pools,nlitterag,Nitrogen Mass in Above Ground Litter Pool,kg m-2,0.5° grid,annual,,,"{'forestry': 'As kg Nitrogen m-2 a-1', 'permafrost': 'Grid cell total'}"
nitrogen-pools,nlitterbg,Nitrogen Mass in Below Ground Litter Pool,kg m-2,0.5° grid,annual,,,"{'forestry': 'As kg Nitrogen m-2 a-1', 'permafrost': 'Grid cell total'}"
nitrogen-pools,nsoil,Nitrogen Mass in Soil,kg m-2,0.5° grid,annual,,,"{'forestry': 'As kg Nitrogen m-2 a-1', 'permafrost': 'Soil nitrogen excluding belowground litter if your model reports nlitterbg. If not including below-ground litter, i.e. only report nsoil and document this in the model documentation. If possible, provide soil nitrogen for all depth layers (i.e. 3D-field), and indicate depth in m. Otherwise, provide soil nitrogen integrated over the entire soil depth. If your model simulates different pools of different turnover times, nsoil separated by pools can additionally be provided. Please indicate them as fast, slow, and passive and describe your definition of the turnover times in your model description. See instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>.'}"
nitrogen-pools,nveg,Nitrogen Mass in Vegetation,kg m-2,0.5° grid,annual,,,Grid cell total.
nitrogen-pools,nvegag,Nitrogen Mass in Above Ground Vegetation Biomass,kg m-2,0.5° grid,annual,,,Grid cell total.
nitrogen-pools,nvegbg,Nitrogen Mass in Below Ground Vegetation Biomass,kg m-2,0.5° grid,annual,,,Grid cell total.
nitrogen-pools,nmineral,Mineral Nitrogen in the soil,kg m-2,0.5° grid,annual,,,"Can be split into nMineralNH4, mineral ammonium in the soil and nMineralNO3 mineral nitrate in the soil. See instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>."
nitrogen-pools,nproduct,Nitrogen in Products of Land Use Change,kg m-2,0.5° grid,annual,,,Products generated during Land-use change. Removed nitrogen should not go into the soil but into the product pool. Please use the product classes used within your model and document them in the model documentation on the ISIMIP homepage.
nitrogen-fluxes,fngasfire,"Total Nitrogen lost to the atmosphere (including NHx, N2O, N2) from fire",kg m-2 s-1,0.5° grid,"monthly, else annual",,,Flux of Nitrogen from the land into the atmosphere due to fire.
nitrogen-fluxes,fngas,"Total nitrogen lost to the atmosphere (sum of NHx, NOx, N2O, N2)",kg m-2 s-1,0.5° grid,"monthly, else annual",,,Total flux of Nitrogen from the land into the atmosphere.
nitrogen-fluxes,fnleach,"Total nitrogen loss due to leaching or runoff (sum of ammonium, nitrite and nitrate)",kg m-2 s-1,0.5° grid,"monthly, else annual",,,Leaching means the loss of water soluble chemical species from soil.
nitrogen-fluxes,fnfert,Total nitrogen added for cropland fertilisation (artificial and manure),kg m-2 s-1,0.5° grid,"monthly, else annual",,,"Total Nitrogen added for cropland fertilisation (artificial and manure). Relative to total land area of a grid cell, not relative to agricultural area."
nitrogen-fluxes,fnproduct,Nitrogen in deforested or harvested biomass as a result of anthropogenic land-use or change,kg m-2 s-1,0.5° grid,"monthly, else annual",,,
nitrogen-fluxes,fnanthdisturb,Nitrogen mass flux out of land due to any human activity,kg m-2 s-1,0.5° grid,"monthly, else annual",,,
nitrogen-fluxes,fnveglitter,Total nitrogen mass flux from vegetation to litter,kg m-2 s-1,0.5° grid,"monthly, else annual",,,
nitrogen-fluxes,fnvegsoil,Total nitrogen mass flux from vegetation directly to soil,kg m-2 s-1,0.5° grid,"monthly, else annual",,,
nitrogen-fluxes,fnlittersoil,Total nitrogen mass flux from litter to soil,kg m-2 s-1,0.5° grid,"monthly, else annual",,,
nitrogen-fluxes,fbnf,Biological nitrogen fixation,kg m-2 s-1,0.5° grid,"monthly, else annual",,,The fixation (uptake of nitrogen gas directly from the atmosphere) of nitrogen due to biological processes.
nitrogen-fluxes,fnh3,Total land NH3 flux,kg m-2 s-1,0.5° grid,"monthly, else annual",,,"Surface upward flux of ammonia (NH3) from vegetation (any living plants e.g. trees, shrubs, grass), litter (dead plant material in or above the soil), soil."
nitrogen-fluxes,fn2o,Total land N2O flux,kg m-2 s-1,0.5° grid,"monthly, else annual",,,"Surface upward flux of nitrous oxide (N2O) from vegetation (any living plants e.g. trees, shrubs, grass), litter (dead plant material in or above the soil), soil."
nitrogen-fluxes,fndep,Dry and wet deposition of reactive nitrogen onto land,kg m-2 s-1,0.5° grid,"monthly, else annual",,,Surface deposition rate of nitrogen.
nitrogen-fluxes,fnnetmin,Net nitrogen release from soil and litter as the outcome of nitrogen immobilisation and gross mineralisation,kg m-2 s-1,0.5° grid,"monthly, else annual",,,"If possible, provide for all depth layers (i.e. 3D-field), and indicate depth in m. Otherwise, provide integrated over the entire soil depth. See instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>."
vegetation,fapar,Fraction of Absorbed Photosynthetically Active Radiation,%,0.5° grid,daily else monthly,,,Value between 0 and 100. Grid cell total and PFT information is essential.
vegetation,lai,Leaf Area Index,1,0.5° grid,daily else monthly (fixed if static),0.0,10.0,"Grid cell total and PFT information is essential. If lai is static, the timestep specifier ""fixed"" can be used."
vegetation,pft,Plant Functional Type Grid Fraction,%,0.5° grid,annual (or fixed if static),,,"The categories may differ from model to model, depending on their PFT definitions. This may include natural PFTs, anthropogenic PFTs, bare soil, lakes, urban areas, etc. Sum of all should equal the fraction of the grid cell that is land. For models that have grid cells partially covered by land and ocean, please document this in the model documentation and provide your land-sea mask along the data uploads."
vegetation,intercep,Evaporation from Canopy (interception),kg m-2 s-1,0.5° grid,monthly,,,The canopy evaporation+sublimation (if present in model).
fire-variables,burntarea,Burnt Area Fraction,%,0.5° grid,"daily (total), monthly (pft/total)",,,Area percentage of grid cell that has burned at any time of the given day/month/year (for daily/monthly/annual resolution)
albedo,landalbedo,Surface Albedo of Land,1,0.5° grid,monthly,,,"Albedo of the land surface interacting with the atmosphere. Average of pfts, snow cover, bare ground."
static-variables,soil,Soil Types,-,0.5° grid,constant,,,"Soil types or texture classes as used by your model. Please include a description of each type or class, especially if these are different from the standard HSWD and GSWP3 soil types. Please also include a description of the parameters and values associated with these soil types (parameter values could be submitted as spatial fields where appropriate)."
