group,specifier,long_name,units,resolution,frequency,valid_min,valid_max,comment
carbon-fluxes,rh,Carbon Mass Flux into Atmosphere due to Heterotrophic Respiration on Land,kg m-2 s-1,stand,daily,,,As kg carbon m⁻² s⁻¹. Stand total and Species information is essential.
carbon-fluxes,rr,Root autotrophic respiration,kg m-2 s-1,stand,daily,,,As kg carbon * m-2 * s-1
nitrogen-pools,nlitterag,Nitrogen Mass in Above Ground Litter Pool,kg m-2,stand,annual,,,As kg Nitrogen m-2 a-1
nitrogen-pools,nlitterbg,Nitrogen Mass in Below Ground Litter Pool,kg m-2,stand,annual,,,As kg Nitrogen m-2 a-1
nitrogen-pools,nsoil,Nitrogen Mass in Soil,kg m-2,stand,annual,,,As kg Nitrogen m-2 a-1
vegetation,fapar,Fraction of Absorbed Photosynthetically Active Radiation,%,stand,daily else monthly,,,Value between 0 and 100. Grid cell total and PFT information is essential.
vegetation,lai,Leaf Area Index,1,stand,daily else monthly (fixed if static),0.0,10.0,"Stand total and species information is essential. If lai is static, the timestep specifier ""fixed"" can be used."
vegetation,intercep,Evaporation from Canopy (interception),kg m-2 s-1,stand,daily,,,The canopy evaporation+sublimation (if present in model).
forestry-variables,dbh,Mean DBH,cm,stand,annual,,,
forestry-variables,dbhdomhei,Mean DBH of 100 Highest Trees,cm,stand,annual,,,100 highest trees per hectare.
forestry-variables,hei,Stand Height,m ha-1,stand,annual,,,"For models including natural regeneration this variable may not make sense, please report domhei."
forestry-variables,domhei,Dominant Height,m2 ha-1,stand,annual,,,Mean height of the 100 highest trees per hectare.
forestry-variables,density,Stand Density,m2 ha-1,stand,annual,,,
forestry-variables,ba,Basal Area,m2 ha-1,stand,annual,,,
forestry-variables,mort,Volume of Dead Trees,m3 ha-1,stand,annual,,,
forestry-variables,harv,Harvest by DBH-Class,m3 ha-1,stand,annual,,,DBH class resolution: Either DBH classes or total per species
forestry-variables,stemno,Remaining Stem Number after Disturbance and Management by DBH-Class,ha-1,stand,annual,,,DBH-Class Resolution: Either DBH-Classes or Total per Species
forestry-variables,vol,Stand Volume,m3 ha-1,stand,annual,,,
forestry-variables,age,Tree Age by DBH-Class,yr,stand,annual,,,DBH class resolution: Either DBH classes or total per species
forestry-variables,nee,Net Ecosystem Exchange,kg m-2 s-1,stand,"daily if possible, else monthly",,,As kg carbon m⁻² s⁻¹
forestry-variables,mai,Mean Annual Increment,m3 ha-1,stand,annual,,,
forestry-variables,species,Species Composition,%,per ha,monthly,,,
forestry-variables,mortstemno,Removed Stem Numbers by DBH-Class by Natural Mortality,ha-1,stand,annual,,,As trees per hectare. DBH class resolution: Either DBH classes or total per species
forestry-variables,harvstemno,Removed Stem Numbers by DBH-Class by Management,ha-1,stand,annual,,,As trees per hectare. DBH class resolution: Either DBH classes or total per species
forestry-variables,dist,Volume of Disturbance Damage,m3 ha-1,stand,annual,,,
static-variables,soil,Soil Types,-,stand,constant,,,"Soil type as used by your model. Please include a description of each type in the model documentation (under ""Other data sets used""). Please also include a link to a database/paper describing the parameters and values associated with these soil types."
